game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium
2026_01_NE_SEA,2026,REG,1,2026-09-09,Wednesday,20:20,NE,10.0,SEA,13.0,Home,3.0,23.0,0.0,2026090900,60178.0,,202609090sea,30606.0,401872656,7019,7,7,140.0,-166.0,3.0,-102.0,-118.0,44.5,-112.0,-108.0,0,outdoors,fieldturf,74.0,6.0,00-0039851,00-0034869,Drake Maye,Sam Darnold,Mike Vrabel,Mike Macdonald,Adrian Hill,SEA00,Lumen Field
2026_01_SF_LA,2026,REG,1,2026-09-10,Thursday,20:35,SF,27.0,LA,7.0,Neutral,-20.0,34.0,0.0,2026091100,60179.0,,202609100ram,30607.0,401872657,7020,7,7,180.0,-218.0,3.5,-105.0,-115.0,47.5,-105.0,-115.0,1,dome,grass,57.0,4.0,00-0037834,00-0026498,Brock Purdy,Matthew Stafford,Kyle Shanahan,Sean McVay,Alex Kemp,MEL00,Melbourne Cricket Ground
2026_01_CHI_CAR,2026,REG,1,2026-09-13,Sunday,13:00,CHI,59.0,CAR,37.0,Home,-22.0,96.0,0.0,2026091300,60180.0,,202609130car,30609.0,401872661,7021,7,7,-166.0,140.0,-3.0,-112.0,-108.0,47.5,-115.0,-105.0,0,outdoors,grass,89.0,2.0,00-0039918,00-0039150,Caleb Williams,Bryce Young,Ben Johnson,Dave Canales,Brad Allen,CAR00,Bank of America Stadium
2026_01_TB_CIN,2026,REG,1,2026-09-13,Sunday,13:00,TB,27.0,CIN,33.0,Home,6.0,60.0,0.0,2026091301,60181.0,,202609130cin,30610.0,401872925,7022,7,7,170.0,-205.0,3.5,-102.0,-118.0,50.5,-112.0,-108.0,0,outdoors,fieldturf,85.0,7.0,00-0034855,00-0036442,Baker Mayfield,Joe Burrow,Todd Bowles,Zac Taylor,John Hussey,CIN00,Paycor Stadium
2026_01_NO_DET,2026,REG,1,2026-09-13,Sunday,13:00,NO,30.0,DET,31.0,Home,1.0,61.0,1.0,2026091302,60182.0,,202609130det,30611.0,401872923,7023,7,7,260.0,-325.0,7.0,-110.0,-110.0,49.5,-105.0,-115.0,0,dome,fieldturf,,,00-0040743,00-0033106,Tyler Shough,Jared Goff,Kellen Moore,Dan Campbell,Alan Eck,DET00,Ford Field
2026_01_BUF_HOU,2026,REG,1,2026-09-13,Sunday,13:00,BUF,36.0,HOU,31.0,Home,-5.0,67.0,0.0,2026091303,60183.0,,202609130htx,30612.0,401872660,7024,7,7,-112.0,-108.0,-1.5,-105.0,-115.0,44.5,-110.0,-110.0,0,closed,astroturf,,,00-0034857,00-0039163,Josh Allen,C.J. Stroud,Sean McDermott,DeMeco Ryans,Alex Moore,HOU00,Reliant Stadium
2026_01_BAL_IND,2026,REG,1,2026-09-13,Sunday,13:00,BAL,41.0,IND,23.0,Home,-18.0,64.0,0.0,2026091304,60184.0,,202609130clt,30613.0,401872659,7025,7,7,-162.0,136.0,-3.0,-108.0,-112.0,48.5,-118.0,-102.0,0,closed,fieldturf,,,00-0034796,00-0035710,Lamar Jackson,Daniel Jones,Jesse Minter,Shane Steichen,Scott Novak,IND00,Lucas Oil Stadium
2026_01_CLE_JAX,2026,REG,1,2026-09-13,Sunday,13:00,CLE,10.0,JAX,34.0,Home,24.0,44.0,0.0,2026091305,60185.0,,202609130jax,30614.0,401872922,7026,7,7,360.0,-470.0,8.5,-105.0,-115.0,40.5,-118.0,-102.0,0,outdoors,grass,89.0,3.0,00-0033537,00-0036971,Deshaun Watson,Trevor Lawrence,Todd Monken,Liam Coen,Craig Wrolstad,JAX00,EverBank Stadium
2026_01_ATL_PIT,2026,REG,1,2026-09-13,Sunday,13:00,ATL,13.0,PIT,20.0,Home,7.0,33.0,0.0,2026091306,60186.0,,202609130pit,30615.0,401872658,7027,7,7,240.0,-298.0,6.5,-108.0,-112.0,40.5,-108.0,-112.0,0,outdoors,grass,77.0,4.0,00-0033662,00-0023459,Cooper Rush,Aaron Rodgers,Raheem Morris,Mike McCarthy,Brad Rogers,PIT00,Acrisure Stadium
2026_01_NYJ_TEN,2026,REG,1,2026-09-13,Sunday,13:00,NYJ,23.0,TEN,10.0,Home,-13.0,33.0,0.0,2026091307,60187.0,,202609130oti,30616.0,401872924,7028,7,7,-102.0,-118.0,1.5,-115.0,-105.0,39.5,-110.0,-110.0,0,outdoors,grass,90.0,2.0,00-0030565,00-0040676,Geno Smith,Cam Ward,Aaron Glenn,Robert Saleh,Land Clark,NAS00,Nissan Stadium
2026_01_ARI_LAC,2026,REG,1,2026-09-13,Sunday,16:25,ARI,26.0,LAC,14.0,Home,-12.0,40.0,0.0,2026091308,60188.0,,202609130sdg,30617.0,401872926,7029,7,7,350.0,-455.0,8.5,-102.0,-118.0,47.5,-118.0,-102.0,0,dome,matrixturf,,,00-0033119,00-0036355,Jacoby Brissett,Justin Herbert,Jonathan Gannon,Jim Harbaugh,Ron Torbert,LAX01,SoFi Stadium
2026_01_MIA_LV,2026,REG,1,2026-09-13,Sunday,16:25,MIA,13.0,LV,27.0,Home,14.0,40.0,0.0,2026091309,60189.0,,202609130rai,30618.0,401872928,7030,7,7,142.0,-170.0,3.0,-110.0,-110.0,40.5,-110.0,-110.0,0,dome,grass,,,00-0038128,00-0029604,Malik Willis,Kirk Cousins,Jeff Hafley,Klint Kubliak,Clete Blakeman,VEG00,Allegiant Stadium
2026_01_GB_MIN,2026,REG,1,2026-09-13,Sunday,16:25,GB,22.0,MIN,39.0,Home,17.0,61.0,0.0,2026091310,60190.0,,202609130min,30619.0,401872927,7031,7,7,105.0,-125.0,1.5,-105.0,-115.0,46.5,-118.0,-102.0,1,dome,sportturf,,,00-0036264,00-0035228,Jordan Love,Kyler Murray,Matt LaFleur,Kevin O'Connell,Shawn Hochuli,MIN01,U.S. Bank Stadium
2026_01_WAS_PHI,2026,REG,1,2026-09-13,Sunday,16:25,WAS,22.0,PHI,24.0,Home,2.0,46.0,0.0,2026091311,60191.0,,202609130phi,30620.0,401872929,7032,7,7,200.0,-245.0,6.0,-110.0,-110.0,43.5,-105.0,-115.0,1,outdoors,grass,82.0,7.0,00-0039910,00-0036389,Jayden Daniels,Jalen Hurts,Dan Quinn,Nick Sirianni,Shawn Smith,PHI00,Lincoln Financial Field
2026_01_DAL_NYG,2026,REG,1,2026-09-13,Sunday,20:20,DAL,20.0,NYG,28.0,Home,8.0,48.0,0.0,2026091312,60192.0,,202609130nyg,30608.0,401872930,7033,7,7,-166.0,140.0,-3.0,-112.0,-108.0,47.5,-105.0,-115.0,1,outdoors,fieldturf,80.0,7.0,00-0033077,00-0040691,Dak Prescott,Jaxson Dart,Brian Schottenheimer,John Harbaugh,Carl Cheffers,NYC01,MetLife Stadium
2026_01_DEN_KC,2026,REG,1,2026-09-14,Monday,20:15,DEN,10.0,KC,31.0,Home,21.0,41.0,0.0,2026091400,60193.0,,202609140kan,30621.0,401872931,7034,7,7,110.0,-130.0,2.5,-112.0,-108.0,42.5,-110.0,-110.0,1,outdoors,grass,91.0,13.0,00-0039732,00-0033873,Bo Nix,Patrick Mahomes,Sean Payton,Andy Reid,Clay Martin,KAN00,GEHA Field at Arrowhead Stadium
2026_02_DET_BUF,2026,REG,2,2026-09-17,Thursday,20:15,DET,31.0,BUF,41.0,Home,10.0,72.0,0.0,2026091700,60194.0,,202609170buf,30635.0,401872932,7035,4,4,195.0,-238.0,5.5,-115.0,-105.0,54.5,-102.0,-118.0,0,outdoors,grass,67.0,4.0,00-0033106,00-0034857,Jared Goff,Josh Allen,Dan Campbell,Sean McDermott,Ron Torbert,BUF00,Highmark Stadium
2026_02_CAR_ATL,2026,REG,2,2026-09-20,Sunday,13:00,CAR,34.0,ATL,3.0,Home,-31.0,37.0,0.0,2026092000,60195.0,,202609200atl,30622.0,401872933,7036,7,7,-155.0,130.0,-2.5,-120.0,100.0,43.5,-110.0,-110.0,1,closed,fieldturf,,,00-0039150,00-0036212,Bryce Young,Tua Tagovailoa,Dave Canales,Raheem Morris,Alex Moore,ATL97,Mercedes-Benz Stadium
2026_02_NO_BAL,2026,REG,2,2026-09-20,Sunday,13:00,NO,24.0,BAL,17.0,Home,-7.0,41.0,0.0,2026092001,60196.0,,202609200rav,30623.0,401872938,7037,7,7,295.0,-375.0,8.5,-115.0,-105.0,45.5,-115.0,-105.0,0,outdoors,grass,79.0,10.0,00-0040743,00-0034796,Tyler Shough,Lamar Jackson,Kellen Moore,Jesse Minter,Clete Blakeman,BAL00,M&T Bank Stadium
2026_02_MIN_CHI,2026,REG,2,2026-09-20,Sunday,13:00,MIN,9.0,CHI,3.0,Home,-6.0,12.0,0.0,2026092002,60197.0,,202609200chi,30624.0,401872937,7038,7,7,180.0,-218.0,4.5,-108.0,-112.0,46.5,-105.0,-115.0,1,outdoors,grass,68.0,8.0,00-0032950,00-0039918,Carson Wentz,Caleb Williams,Kevin O'Connell,Ben Johnson,Land Clark,CHI98,Soldier Field
2026_02_CIN_HOU,2026,REG,2,2026-09-20,Sunday,13:00,CIN,20.0,HOU,6.0,Home,-14.0,26.0,0.0,2026092003,60198.0,,202609200htx,30625.0,401872934,7039,7,7,124.0,-148.0,3.0,-118.0,-102.0,45.5,-110.0,-110.0,0,closed,astroturf,,,00-0036442,00-0039163,Joe Burrow,C.J. Stroud,Zac Taylor,DeMeco Ryans,Adrian Hill,HOU00,Reliant Stadium
2026_02_PIT_NE,2026,REG,2,2026-09-20,Sunday,13:00,PIT,3.0,NE,20.0,Home,17.0,23.0,0.0,2026092004,60199.0,,202609200nwe,30626.0,401872946,7040,7,11,185.0,-225.0,4.5,-102.0,-118.0,41.5,-115.0,-105.0,0,outdoors,fieldturf,63.0,7.0,00-0023459,00-0039851,Aaron Rodgers,Drake Maye,Mike McCarthy,Mike Vrabel,Carl Cheffers,BOS00,Gillette Stadium
