team_abbr,team_name,team_logo_espn
ARI,Arizona Cardinals,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png
ATL,Atlanta Falcons,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png
BAL,Baltimore Ravens,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png
BUF,Buffalo Bills,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png
CAR,Carolina Panthers,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png
CHI,Chicago Bears,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png
CIN,Cincinnati Bengals,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png
CLE,Cleveland Browns,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png
DAL,Dallas Cowboys,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png
DEN,Denver Broncos,https://a.espncdn.com/i/teamlogos/nfl/500/den.png
DET,Detroit Lions,https://a.espncdn.com/i/teamlogos/nfl/500/det.png
GB,Green Bay Packers,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png
HOU,Houston Texans,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png
IND,Indianapolis Colts,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png
JAX,Jacksonville Jaguars,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png
KC,Kansas City Chiefs,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png
LA,Los Angeles Rams,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png
LAC,Los Angeles Chargers,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png
LAR,Los Angeles Rams,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png
LV,Las Vegas Raiders,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png
MIA,Miami Dolphins,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png
MIN,Minnesota Vikings,https://a.espncdn.com/i/teamlogos/nfl/500/min.png
NE,New England Patriots,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png
NO,New Orleans Saints,https://a.espncdn.com/i/teamlogos/nfl/500/no.png
NYG,New York Giants,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png
NYJ,New York Jets,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png
OAK,Oakland Raiders,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png
PHI,Philadelphia Eagles,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png
PIT,Pittsburgh Steelers,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png
SD,San Diego Chargers,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png
SEA,Seattle Seahawks,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png
SF,San Francisco 49ers,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png
STL,St. Louis Rams,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png
TB,Tampa Bay Buccaneers,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png
TEN,Tennessee Titans,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png
WAS,Washington Commanders,https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png
